"iv_malla_modi_id","mq_evi_mean","mq_evi_cv","mq_max","mq_evi_meanL","mq_evi_cvL","clu"
167204,1,4,1,"A","d","Ad1"
167205,1,4,1,"A","d","Ad1"
167206,2,4,1,"B","d","Bd1"
167207,2,3,1,"B","c","Bc1"
167208,3,4,1,"C","d","Cd1"
167209,3,3,1,"C","c","Cc1"
167210,3,3,1,"C","c","Cc1"
167211,3,3,1,"C","c","Cc1"
167212,3,2,1,"C","b","Cb1"
167213,2,3,2,"B","c","Bc2"
167881,1,4,1,"A","d","Ad1"
167882,1,4,1,"A","d","Ad1"
167883,1,4,1,"A","d","Ad1"
167884,1,4,2,"A","d","Ad2"
167885,1,4,1,"A","d","Ad1"
167886,1,4,2,"A","d","Ad2"
167887,3,4,1,"C","d","Cd1"
167888,3,3,1,"C","c","Cc1"
167889,3,4,1,"C","d","Cd1"
167890,3,3,1,"C","c","Cc1"
167891,3,3,1,"C","c","Cc1"
167892,3,2,1,"C","b","Cb1"
167893,3,2,1,"C","b","Cb1"
168536,1,3,1,"A","c","Ac1"
168537,1,4,2,"A","d","Ad2"
168561,1,4,1,"A","d","Ad1"
168562,1,4,2,"A","d","Ad2"
168563,1,4,2,"A","d","Ad2"
168564,1,4,2,"A","d","Ad2"
168565,1,4,2,"A","d","Ad2"
168566,2,3,2,"B","c","Bc2"
168567,3,3,2,"C","c","Cc2"
168568,3,3,2,"C","c","Cc2"
168569,3,3,2,"C","c","Cc2"
168570,3,3,1,"C","c","Cc1"
168571,3,2,2,"C","b","Cb2"
168572,3,2,1,"C","b","Cb1"
169214,2,2,4,"B","b","Bb4"
169215,2,3,2,"B","c","Bc2"
169216,3,3,4,"C","c","Cc4"
169217,3,3,4,"C","c","Cc4"
169244,1,4,2,"A","d","Ad2"
169245,2,4,2,"B","d","Bd2"
169246,3,4,1,"C","d","Cd1"
169247,3,3,2,"C","c","Cc2"
169248,3,3,1,"C","c","Cc1"
169249,3,3,1,"C","c","Cc1"
